"Cp","cell_element_type","cell_id","cell_type","cell_zone","density","dynamic_pressure","expr:C_D","expr:C_D_contact","expr:C_Lift","expr:C_Lift_contact","helicity","laminar_kinetic_energy","pressure","pressure_coefficient","q_criterion","raw_q_criterion","skin_friction_coef","strain_rate_mag","total_pressure","turb_diss_rate","turb_intensity","turb_kinetic_energy","turb_reynolds_number_rey","velocity:0","velocity:1","velocity:2","velocity_magnitude","viscosity_lam","viscosity_turb","vorticity_mag","wall_shear","x_velocity","y_plus","y_velocity","z_velocity","vtkValidPointMask","Points:0","Points:1","Points:2"
0.49815,7,2.9336e+06,1,6552,1.225,179.93,0.37745,0.41399,0.072162,0.082996,-4025.3,0.099093,147.68,241.1,-5.9566e+06,-5.9566e+06,0,5580.9,327.61,71.233,0.90866,1.1504,37.195,12.081,-0.21739,-12.065,17.136,1.7894e-05,5.1937e-05,4519.9,0,12.081,0,-0.21739,-12.065,1,-0.22316,0,-0.22316
0.48718,7,2.9353e+06,1,6552,1.225,179.47,0.37745,0.41399,0.072162,0.082996,-2928.2,0.075066,144.43,235.8,-5.4147e+06,-5.4147e+06,0,4596.2,323.89,55.537,0.84426,1.0136,39.802,12.318,-0.23609,-11.78,17.11,1.7894e-05,6.5806e-05,3479.4,0,12.318,0,-0.23609,-11.78,1,-0.21923,0,-0.22702
0.47679,7,2.9364e+06,1,6552,1.225,179.88,0.37745,0.41399,0.072162,0.082996,-2083.7,0.058198,141.35,230.77,-5.0441e+06,-5.0441e+06,0,3957.9,321.23,44.885,0.79808,0.91805,41.634,12.568,-0.25675,-11.538,17.129,1.7894e-05,7.2183e-05,2781.6,0,12.568,0,-0.25675,-11.538,1,-0.21523,0,-0.23081
0.46592,7,2.9378e+06,1,6552,1.225,184.98,0.37745,0.41399,0.072162,0.082996,-2197.7,0.06776,138.12,225.51,-7.0711e+06,-7.0711e+06,0,4710.4,323.11,49.344,0.81871,0.9584,39.826,12.903,-0.26986,-11.535,17.371,1.7894e-05,5.9584e-05,3249.1,0,12.903,0,-0.26986,-11.535,1,-0.21117,0,-0.23453
0.45458,7,2.9393e+06,1,6552,1.225,194.79,0.37745,0.41399,0.072162,0.082996,-2862.9,0.10097,134.76,220.02,-1.2551e+07,-1.2551e+07,0,6832.4,329.55,66.876,0.90316,1.1265,34.799,13.316,-0.27735,-11.782,17.831,1.7894e-05,3.4685e-05,4697,0,13.316,0,-0.27735,-11.782,1,-0.20705,0,-0.23818
0.44545,7,2.9343e+06,1,6552,1.225,194.07,0.37745,0.41399,0.072162,0.082996,-2208.6,0.082845,132.05,215.6,-1.0728e+07,-1.0728e+07,0,5881,326.12,55.744,0.85271,1.022,36.539,13.517,-0.28725,-11.482,17.796,1.7894e-05,4.224e-05,3875.9,0,13.517,0,-0.28725,-11.482,1,-0.20286,0,-0.24176
0.4358,7,2.9296e+06,1,6552,1.225,198.25,0.37745,0.41399,0.072162,0.082996,-2185.2,0.089519,129.19,210.93,-1.2256e+07,-1.2256e+07,0,6332.6,327.44,58.32,0.8687,1.0502,34.803,13.799,-0.29125,-11.443,17.988,1.7894e-05,3.5756e-05,4081.9,0,13.799,0,-0.29125,-11.443,1,-0.19861,0,-0.24526
0.42874,7,2.9269e+06,1,6552,1.225,197.3,0.37745,0.41399,0.072162,0.082996,-2181.9,0.073526,127.1,207.51,-1.1185e+07,-1.1185e+07,0,5617.5,324.4,48.983,0.82383,0.95995,36.571,14.009,-0.30773,-11.108,17.943,1.7894e-05,4.1589e-05,3426.4,0,14.009,0,-0.30773,-11.108,1,-0.1943,0,-0.24869
0.42229,7,2.9252e+06,1,6552,1.225,197.56,0.37745,0.41399,0.072162,0.082996,-2439.7,0.064756,125.19,204.39,-1.1094e+07,-1.1094e+07,0,5320.3,322.75,43.725,0.79829,0.90869,37.397,14.239,-0.32567,-10.833,17.955,1.7894e-05,4.3398e-05,3085.5,0,14.239,0,-0.32567,-10.833,1,-0.18993,0,-0.25204
0.41526,7,2.9246e+06,1,6552,1.225,202.79,0.37745,0.41399,0.072162,0.082996,-3567.8,0.078056,123.1,200.99,-1.5345e+07,-1.5345e+07,0,6416.7,325.9,50.384,0.83617,0.98128,34.79,14.548,-0.3372,-10.836,18.193,1.7894e-05,3.3692e-05,3581.9,0,14.548,0,-0.3372,-10.836,1,-0.1855,0,-0.25532
0.4085,7,2.9243e+06,1,6552,1.225,205.76,0.37745,0.41399,0.072162,0.082996,-3892.7,0.083431,121.1,197.71,-1.8829e+07,-1.8829e+07,0,7021,326.86,52.929,0.8534,1.017,34.063,14.806,-0.34138,-10.711,18.326,1.7894e-05,2.9742e-05,3723.2,0,14.806,0,-0.34138,-10.711,1,-0.18101,0,-0.25852
0.40218,7,2.924e+06,1,6552,1.225,205.25,0.37745,0.41399,0.072162,0.082996,-3016.7,0.076656,119.23,194.66,-1.9511e+07,-1.9511e+07,0,6749.4,324.48,49.13,0.83602,0.98855,35.971,14.992,-0.33887,-10.384,18.302,1.7894e-05,3.3091e-05,3391.8,0,14.992,0,-0.33887,-10.384,1,-0.17648,0,-0.26164
0.39523,7,2.9249e+06,1,6552,1.225,209.81,0.37745,0.41399,0.072162,0.082996,-2970.3,0.092497,117.17,191.29,-2.6608e+07,-2.6608e+07,0,8035.9,326.97,57.514,0.88549,1.0934,34.566,15.256,-0.32924,-10.355,18.506,1.7894e-05,2.6479e-05,3835.5,0,15.256,0,-0.32924,-10.355,1,-0.17188,0,-0.26468
