"Cp","cell_element_type","cell_id","cell_type","cell_zone","density","dynamic_pressure","expr:C_D","expr:C_Lift","helicity","laminar_kinetic_energy","pressure_coefficient","q_criterion","raw_q_criterion","skin_friction_coef","strain_rate_mag","total_pressure","turb_diss_rate","turb_intensity","turb_kinetic_energy","turb_reynolds_number_rey","velocity:0","velocity:1","velocity:2","velocity_magnitude","viscosity_lam","viscosity_turb","vorticity_mag","wall_shear","x_velocity","y_plus","y_velocity","z_velocity","vtkValidPointMask","Points:0","Points:1","Points:2"
-0.36435,7,4.4883e+06,1,6552,1.225,33.864,0.38162,0.10885,6567.7,1.1528,-176.34,-1.0346e+06,-1.0346e+06,0,19284,-74.146,1820.8,2.3333,7.0148,54.61,-5.872,0.24631,4.414,7.3508,1.7894e-05,8.3224e-05,19236,0,-5.872,0,0.24631,4.414,1,0.18993,0,0.25204
-0.37351,7,4.5304e+06,1,6552,1.225,33.654,0.38162,0.10885,5736.1,1.1567,-180.78,-1.0125e+06,-1.0125e+06,0,18835,-77.072,1802,2.3419,7.0721,56.382,-5.9196,0.22494,4.2923,7.3162,1.7894e-05,8.8936e-05,18787,0,-5.9196,0,0.22494,4.2923,1,0.1855,0,0.25532
-0.38244,7,4.5752e+06,1,6552,1.225,33.419,0.38162,0.10885,4935.2,1.1717,-185.1,-9.9327e+05,-9.9327e+05,0,18618,-79.954,1813.6,2.3616,7.1968,58.288,-5.9576,0.20007,4.1672,7.2741,1.7894e-05,9.4814e-05,18570,0,-5.9576,0,0.20007,4.1672,1,0.18101,0,0.25852
-0.39127,7,4.6396e+06,1,6552,1.225,34.278,0.38162,0.10885,4404.8,1.2189,-189.37,-1.071e+06,-1.071e+06,0,19375,-81.715,1897.9,2.3975,7.4055,58.145,-6.1044,0.17393,4.1177,7.3663,1.7894e-05,9.1787e-05,19326,0,-6.1044,0,0.17393,4.1177,1,0.17648,0,0.26164
-0.40019,7,4.7029e+06,1,6552,1.225,34.423,0.38162,0.10885,3752.7,1.2739,-193.69,-1.2174e+06,-1.2174e+06,0,20067,-84.213,1998,2.4391,7.652,58.073,-6.191,0.1466,4.0217,7.3847,1.7894e-05,8.8774e-05,20014,0,-6.191,0,0.1466,4.0217,1,0.17188,0,0.26468
-0.40863,7,4.5789e+06,1,6552,1.225,31.225,0.38162,0.10885,2743.9,1.2988,-197.78,-1.0341e+06,-1.0341e+06,0,18794,-89.913,2022.9,2.476,7.9011,62.494,-5.945,0.11827,3.7201,7.015,1.7894e-05,0.00010349,18745,0,-5.945,0,0.11827,3.7201,1,0.16724,0,0.26764
-0.41743,7,4.4791e+06,1,6552,1.225,28.322,0.38162,0.10885,2228.6,1.3425,-202.04,-8.9522e+05,-8.9522e+05,0,18131,-95.426,2096.7,2.5238,8.219,66.231,-5.6993,0.099859,3.4356,6.6565,1.7894e-05,0.00011566,18086,0,-5.6993,0,0.099859,3.4356,1,0.16254,0,0.27051
-0.42665,7,4.4425e+06,1,6552,1.225,27.205,0.38162,0.10885,2261.4,1.4294,-206.5,-8.7543e+05,-8.7543e+05,0,19082,-99.274,2281.2,2.5883,8.6256,66.506,-5.6302,0.091269,3.2649,6.5097,1.7894e-05,0.00011396,19041,0,-5.6302,0,0.091269,3.2649,1,0.15779,0,0.27331
-0.43564,7,4.3945e+06,1,6552,1.225,25.206,0.38162,0.10885,2294.8,1.5224,-210.85,-8.954e+05,-8.954e+05,0,19607,-103.94,2474.5,2.6543,9.0513,67.841,-5.4488,0.088517,3.0407,6.2411,1.7894e-05,0.00011722,19567,0,-5.4488,0,0.088517,3.0407,1,0.153,0,0.27602
-0.44474,7,4.3393e+06,1,6552,1.225,21.308,0.38162,0.10885,1948.7,1.6051,-215.25,-8.0442e+05,-8.0442e+05,0,18942,-110.54,2633.4,2.7161,9.4668,70.864,-5.041,0.079953,2.705,5.7222,1.7894e-05,0.00012738,18904,0,-5.041,0,0.079953,2.705,1,0.14816,0,0.27865
-0.45432,7,4.2871e+06,1,6552,1.225,17.049,0.38162,0.10885,1675.6,1.6794,-219.89,-6.7559e+05,-6.7559e+05,0,18028,-117.63,2787.4,2.7758,9.8866,74.915,-4.5167,0.073859,2.3315,5.0844,1.7894e-05,0.00014296,17994,0,-4.5167,0,0.073859,2.3315,1,0.14327,0,0.28119
-0.46428,7,4.294e+06,1,6552,1.225,15.904,0.38162,0.10885,1806,1.8324,-224.71,-6.9029e+05,-6.9029e+05,0,19930,-121.73,3190.4,2.8591,10.433,71.304,-4.4413,0.069687,2.1914,4.9535,1.7894e-05,0.00012609,19898,0,-4.4413,0,0.069687,2.1914,1,0.13835,0,0.28365
-0.47513,7,4.2749e+06,1,6552,1.225,12.747,0.38162,0.10885,1913.3,1.912,-229.96,-6.4118e+05,-6.4118e+05,0,19958,-128.11,3443.2,2.9216,10.899,74.516,-3.9106,0.075515,1.8564,4.3303,1.7894e-05,0.00014143,19930,0,-3.9106,0,0.075515,1.8564,1,0.13337,0,0.28602
-0.48655,7,4.3103e+06,1,6552,1.225,9.7489,0.38162,0.10885,1819.6,1.9918,-235.49,-5.9281e+05,-5.9281e+05,0,19902,-134.49,3728.6,2.9841,11.375,77.319,-3.3395,0.074567,1.5267,3.6741,1.7894e-05,0.00015581,19877,0,-3.3395,0,0.074567,1.5267,1,0.12836,0,0.28831
-0.49863,7,4.2989e+06,1,6552,1.225,6.9657,0.38162,0.10885,1877.2,2.0419,-241.34,-5.3992e+05,-5.3992e+05,0,19470,-140.85,3979.6,3.0362,11.797,80.432,-2.6841,0.082218,1.1848,2.9413,1.7894e-05,0.00017305,19449,0,-2.6841,0,0.082218,1.1848,1,0.12331,0,0.2905
-0.51152,7,4.297e+06,1,6552,1.225,5.0733,0.38162,0.10885,2186.4,2.1178,-247.58,-5.0369e+05,-5.0369e+05,0,20047,-146.57,4380.4,3.0971,12.281,79.737,-2.2074,0.095719,0.93353,2.441,1.7894e-05,0.00017311,20029,0,-2.2074,0,0.095719,0.93353,1,0.11822,0,0.29261
-0.52582,7,4.2705e+06,1,6552,1.225,2.7544,0.38162,0.10885,2272.1,2.08,-254.5,-3.1537e+05,-3.1537e+05,0,18176,-153.13,4473.6,3.1246,12.58,85.378,-1.2731,0.11553,0.53955,1.6757,1.7894e-05,0.00020473,18165,0,-1.2731,0,0.11553,0.53955,1,0.1131,0,0.29463
-0.54097,7,4.2933e+06,1,6552,1.225,1.8325,0.38162,0.10885,2347.8,2.0729,-261.83,-1.9864e+05,-1.9864e+05,0,17694,-158.54,4734.2,3.1648,12.97,87.653,-0.55347,0.12814,0.25886,1.3129,1.7894e-05,0.00022161,17688,0,-0.55347,0,0.12814,0.25886,1,0.10794,0,0.29656
-0.5564,7,4.2601e+06,1,6552,1.225,1.6521,0.38162,0.10885,2366,2.0504,-269.3,-1.3388e+05,-1.3388e+05,0,17644,-163.29,5027.9,3.201,13.341,88.978,0.10297,0.13346,0.024334,1.2398,1.7894e-05,0.00023465,17642,0,0.10297,0,0.13346,0.024334,1,0.10275,0,0.2984
-0.57217,7,4.213e+06,1,6552,1.225,1.703,0.38162,0.10885,2500.6,2.0905,-276.93,-1.2528e+05,-1.2528e+05,0,19162,-167.92,5614.8,3.2578,13.851,85.461,0.46211,0.13187,-0.097309,1.2111,1.7894e-05,0.00022287,19161,0,0.46211,0,0.13187,-0.097309,1,0.097523,0,0.30014
